DNI,Apellidos,Nombres,Día,Fecha y hora,Tardanza,Estado
75210347,García,Carlos,Lunes,07-07-2025 07:32:42,No,Presente
80121322,Pérez,Ana,Lunes,07-07-2025 10:04:42,Sí,Presente
74549877,Ramírez,Luis,Lunes,07-07-2025 09:55:42,Sí,Presente
79810022,Lozano,María,Lunes,07-07-2025 09:09:42,Sí,Presente
70012345,Cruz,Diana,Lunes,07-07-2025 -,-,Ausente
20251645,Macedo,Jairo,Lunes,07-07-2025 08:44:42,Sí,Presente
74549877,Martínez,Juan,Lunes,07-07-2025 -,-,Ausente
75210347,García,Carlos,Martes,08-07-2025 10:22:42,Sí,Presente
80121322,Pérez,Ana,Martes,08-07-2025 10:22:42,Sí,Presente
74549877,Ramírez,Luis,Martes,08-07-2025 10:33:42,Sí,Presente
79810022,Lozano,María,Martes,08-07-2025 07:54:42,No,Presente
70012345,Cruz,Diana,Martes,08-07-2025 08:10:42,Sí,Presente
20251645,Macedo,Jairo,Martes,08-07-2025 09:11:42,Sí,Presente
74549877,Martínez,Juan,Martes,08-07-2025 09:17:42,Sí,Presente
75210347,García,Carlos,Miércoles,09-07-2025 07:00:42,No,Presente
80121322,Pérez,Ana,Miércoles,09-07-2025 -,-,Ausente
74549877,Ramírez,Luis,Miércoles,09-07-2025 08:36:42,Sí,Presente
79810022,Lozano,María,Miércoles,09-07-2025 07:59:42,No,Presente
70012345,Cruz,Diana,Miércoles,09-07-2025 -,-,Ausente
20251645,Macedo,Jairo,Miércoles,09-07-2025 09:04:42,Sí,Presente
74549877,Martínez,Juan,Miércoles,09-07-2025 07:43:42,No,Presente
75210347,García,Carlos,Jueves,10-07-2025 08:33:42,Sí,Presente
80121322,Pérez,Ana,Jueves,10-07-2025 09:16:42,Sí,Presente
74549877,Ramírez,Luis,Jueves,10-07-2025 09:12:42,Sí,Presente
79810022,Lozano,María,Jueves,10-07-2025 08:21:42,Sí,Presente
70012345,Cruz,Diana,Jueves,10-07-2025 10:48:42,Sí,Presente
20251645,Macedo,Jairo,Jueves,10-07-2025 09:13:42,Sí,Presente
74549877,Martínez,Juan,Jueves,10-07-2025 08:21:42,Sí,Presente
75210347,García,Carlos,Viernes,11-07-2025 09:03:42,Sí,Presente
80121322,Pérez,Ana,Viernes,11-07-2025 07:48:42,No,Presente
74549877,Ramírez,Luis,Viernes,11-07-2025 08:18:42,Sí,Presente
79810022,Lozano,María,Viernes,11-07-2025 08:25:42,Sí,Presente
70012345,Cruz,Diana,Viernes,11-07-2025 09:08:42,Sí,Presente
20251645,Macedo,Jairo,Viernes,11-07-2025 09:14:42,Sí,Presente
74549877,Martínez,Juan,Viernes,11-07-2025 07:14:42,No,Presente
75210347,García,Carlos,Lunes,14-07-2025 10:41:42,Sí,Presente
80121322,Pérez,Ana,Lunes,14-07-2025 10:39:42,Sí,Presente
74549877,Ramírez,Luis,Lunes,14-07-2025 07:24:42,No,Presente
79810022,Lozano,María,Lunes,14-07-2025 09:28:42,Sí,Presente
70012345,Cruz,Diana,Lunes,14-07-2025 -,-,Ausente
20251645,Macedo,Jairo,Lunes,14-07-2025 09:16:42,Sí,Presente
74549877,Martínez,Juan,Lunes,14-07-2025 10:46:42,Sí,Presente
75210347,García,Carlos,Martes,15-07-2025 10:24:42,Sí,Presente
80121322,Pérez,Ana,Martes,15-07-2025 08:48:42,Sí,Presente
74549877,Ramírez,Luis,Martes,15-07-2025 08:16:42,Sí,Presente
79810022,Lozano,María,Martes,15-07-2025 08:02:42,Sí,Presente
70012345,Cruz,Diana,Martes,15-07-2025 07:29:42,No,Presente
20251645,Macedo,Jairo,Martes,15-07-2025 07:29:42,No,Presente
74549877,Martínez,Juan,Martes,15-07-2025 -,-,Ausente
75210347,García,Carlos,Miércoles,16-07-2025 10:59:42,Sí,Presente
80121322,Pérez,Ana,Miércoles,16-07-2025 08:17:42,Sí,Presente
74549877,Ramírez,Luis,Miércoles,16-07-2025 -,-,Ausente
79810022,Lozano,María,Miércoles,16-07-2025 09:54:42,Sí,Presente
70012345,Cruz,Diana,Miércoles,16-07-2025 07:51:42,No,Presente
20251645,Macedo,Jairo,Miércoles,16-07-2025 -,-,Ausente
74549877,Martínez,Juan,Miércoles,16-07-2025 -,-,Ausente
75210347,García,Carlos,Jueves,17-07-2025 10:39:42,Sí,Presente
80121322,Pérez,Ana,Jueves,17-07-2025 -,-,Ausente
74549877,Ramírez,Luis,Jueves,17-07-2025 10:39:42,Sí,Presente
79810022,Lozano,María,Jueves,17-07-2025 08:07:42,Sí,Presente
70012345,Cruz,Diana,Jueves,17-07-2025 07:57:42,No,Presente
20251645,Macedo,Jairo,Jueves,17-07-2025 -,-,Ausente
74549877,Martínez,Juan,Jueves,17-07-2025 09:18:42,Sí,Presente
